être,be
solide,solid
indien,Indian
boucler,buckle
détective,detective
songer,reflect
comporter,include
panne,breakdown
écrivain,writer
ours,bear
commission,commission
passager,passenger
boucher,Butcher
ha,ha
remuer,stir
communiste,Communist
poussière,dust
mai,May
clef,key
échec,failure
balader,stroll
chrétien,Christian
témoigner,testify
gratuit,free
minable,pathetic
ticket,ticket
soulever,lift
forcément,necessarily
céder,Give way
hélas,alas
foot,football
barbe,beard
incapable,incapable
priver,deprive
élément,element
renverser,reverse
cave,cellar
courrier,mail
entourer,surround
virus,virus
bagnole,wagon
concours,contest
terroriste,terrorist
canard,duck
führer,fuhrer
cérémonie,ceremony
chic,chic
officiel,official
annonce,ad
écran,screen
mardi,on Tuesday
piscine,swimming pool
imposer,impose
correspondre,correspond
discussion,discussion
piano,piano
estomac,stomach
auteur,author
médecine,medicine
compliqué,complicated
grec,Greek
délicat,delicate
foie,liver
sucer,suck
activité,activity
bonbon,candy
guerrier,warrior
épreuve,test
geler,freeze
aimable,friendly
la plupart des,most
peser,weigh
chagrin,grief
dé,thimble
patrie,homeland
communauté,community
éprouver,experience
négatif,negative
pratique,practice
généreux,generous
humanité,humanity
excellence,excellence
arabe,Arabic
enfoncer,push
analyse,analysis
critique,critical
cirque,circus
serveur,server
objectif,objective
lutte,fight
agence,agency
couronne,crown
rejeter,cast away
bye,bye
poudre,powder
sacrifice,sacrifice
sous-titre,subtitle
cloche,bell
crème,cream
danseur,dancer
attitude,attitude
quart,quarter
déshabiller,undress
achever,finish
amen,amen
pompe,pump
charme,charm
séance,meeting
neveu,nephew
robot,robot
pourrir,rot
file,queue
absence,absence
quiconque,whoever
bah,bah
nôtres,ours
parvenir,achieve
régner,reign
propriété,property
huile,oil
surface,surface
pourri,rotten
chérir,cherish
instrument,instrument
exercice,exercise
culture,culture
poète,poet
honorer,honor
bienvenue,welcome
pilule,pill
repousser,put off
facture,bill
classique,classical
ceinture,belt
oublie,forget it
volontaire,voluntary
gris,gray
soucier,worry
proposition,proposal
grouiller,swarm
exposer,exhibit
moderne,modern
intervenir,intervene
instruction,instruction
jus,juice
améliorer,improve
compliquer,complicate
compagnon,companion
cercueil,coffin
indice,index
rock,rock
rumeur,rumor
comédie,comedy
bourrer,stuff
cassé,broken
véhicule,vehicle
jouir,enjoy
transporter,transport
saurer,saurer
phrase,sentence
navire,ship
cabinet,cabinet
tenue,holding
fonction,function
quinze,fifteen
tasse,cup
étendre,expand
nazi,Nazi
roue,wheel
uniquement,only
plante,plant
sel,salt
douze,twelve
circonstance,circumstance
salade,salad
salopard,bastard
cercle,circle
piéger,trap
chauffer,heat
gouverneur,governor
garce,bitch
cuire,cook
cependant,however
anneau,ring
paire,pair
pré,meadow
domaine,field
soulager,relieve
fleuve,river
immense,immense
incident,incident
essentiel,essential
mercredi,on Wednesday
pourvoir,fill
fermé,closed
placard,cupboard
fan,fan
estimer,estimate
r,r
magazine,magazine
renfort,reinforcement
pile,battery
relâcher,release
réputation,reputation
logique,logic
poubelle,trash can
for,for
degré,degree
règlement,settlement
assiette,plate
craquer,crack
serment,oath
chanteur,singer
célibataire,single
décoller,take off
merveille,marvel
clinique,clinical
ingénieur,engineer
réserve,reserve
autorisation,authorization
voyou,thug
récemment,recently
disposer,dispose
grimper,climb
publier,publish
naturellement,naturally
tache,spot
complice,accomplice
réjouir,rejoice
draguer,dredge
réclamer,claim
appétit,appetite
organisation,organization
marin,marine
comportement,behavior
scandale,scandal
donnée,given
orange,Orange
assis,seated
lion,lion
baron,baron
tomate,tomato
congé,leave
nègre,negro
cardiaque,cardiac
musée,museum
bijoux,jewelry
tester,test
occupé,busy
maximum,maximum
piper,piper
reconnaissant,grateful
arrestation,arrest
tournée,tour
diamant,diamond
tradition,tradition
génération,generation
voile,veil
interne,internal
plaque,plate
éducation,education
renseigner,inquire
commandement,command
vieillir,age
ennuyeux,boring
rythme,pace
texte,text
ruiner,ruin
répandre,spill
développer,develop
légende,legend
normalement,normally
ongle,nail
électrique,electric
liaison,link
transport,transport
brancher,hook up
marchand,dealer
douer,endow
entraînement,training
réfléchi,thoughtful
fumée,smoke
plomb,lead
dégoûtant,disgusting
prime,premium
tapis,carpet
version,version
cieux,heavens
gai,gay
cabine,cabin
positif,positive
hauteur,height
abuser,abuse
dégueulasse,disgusting
oignon,onion
écrit,written
reparler,talk
couche,layer
laid,ugly
collier,necklace
équipage,crew
illégal,illegal
soupçonner,suspect
disparu,missing
reprocher,blame
conférence,conference
persuader,persuade
vain,vain
bibliothèque,library
étonnant,surprising
incendie,fire
religieux,religious
âgé,old
semer,sow
nôtre,our
paniquer,panic
poison,poison
sénateur,senator
garantir,guarantee
veine,vein
déclaration,statement
accusation,charge
tempête,storm
bandit,bandit
dévorer,devour
meuble,cabinet
trente,thirty
drapeau,flag
détacher,detach
bourse,scholarship
récompense,reward
enquêter,investigate
mesurer,measure
solitude,solitude
empoisonner,poison
mystérieux,mysterious
opéra,opera
commerce,trade
puits,well
sincère,sincere
statue,statue
cap,cape
sécher,dry
empire,empire
employer,use
pro,pro
régime,regime
hôte,host
jumeau,twin
volontiers,willingly
mouiller,wet
mental,mental
top,top
populaire,popular
misérable,miserable
man,man
alarme,alarm
frigo,fridge
conséquence,result
demi-tour,about-turn
fauteuil,chair
bagarre,brawl
tunnel,tunnel
sauce,sauce
cinglé,crazy
correct,correct
drap,sheet
déclencher,set off
expression,expression
conduite,conduct
surveillance,surveillance
contrer,counteract
illusion,illusion
scénario,scenario
rideau,curtain
communiquer,communicate
territoire,territory
poésie,poetry
tentative,attempt
secouer,shake
profondément,deeply
renseignement,Intelligence
pénétrer,enter
fréquenter,frequent
franchir,jump over
cingler,sting
évanouir,vanish
entretien,maintenance
soutien,support
caractère,character
emballer,pack
alliance,alliance
boucle,curly
négocier,negotiate
hâte,haste
as,ace
démolir,tear down
planquer,stash
barre,bar
misère,misery
clairement,clearly
concevoir,design
fumier,manure
production,production
comité,committee
navrer,navrer
fameux,famous
auto,auto
mamie,granny
bâtir,build
trahison,betrayal
canapé,couch
boisson,drink
étrangler,strangle
catholique,Catholic
progrès,progress
riz,rice
consulter,consult
signature,signature
dose,dose
réveil,revival
intelligence,intelligence
transférer,transfer
u,u
bisou,kiss
personnellement,personally
loger,house
dégoûter,disgust
défaut,fault
messe,mass
bougie,candle
ouverture,opening
ivre,drunk
cage,cage
suffisamment,enough
consacrer,devote
réellement,really
invitation,invitation
aïe,ouch
parking,parking
araignée,spider
éternité,eternity
opposer,oppose
fédéral,federal
communication,communication
métro,subway
culotte,panties
bâton,stick
plastique,plastic
trait,trait
tireur,shooter
appart,appart
branche,hipster
miel,honey
éclairer,light
coïncidence,coincidence
halte,stop
absolu,absolute
toile,canvas
féminin,female
ruine,ruin
cravate,tie
dealer,dealer
portefeuille,portfolio
redevenir,become again
appliquer,apply
dresser,train
elle-même,itself
bonté,goodness
angoisse,anxiety
bouffe,food
casier,locker
bible,Bible
envier,envy
démissionner,resign
vertu,virtue
plaisanterie,joke
pasteur,pastor
pension,pension
stylo,pen
candidat,candidate
choper,bust
capturer,capture
muet,mute
apparence,appearance
musicien,musician
bol,bowl
évacuer,evacuate
technologie,technology
suffisant,sufficient
saleté,dirt
guide,guide
international,international
citer,quote
poing,fist
gagnant,winner
milliard,billion
salir,soil
célébrer,celebrate
exécution,execution
soumettre,submit
injuste,unfair
ministère,ministry
réception,reception
sommet,top
trouille,funk
ralentir,slow down
préoccuper,concern
tube,tube
envahir,invade
peste,plague
racheter,redeem
thème,theme
épisode,episode
fondre,melt
excitant,exciting
capacité,capacity
bloc,block
invisible,invisible
mater,mater
éveiller,awaken
diplôme,graduate
sensation,sensation
humour,humor
psy,psy
cendre,ash
compliment,compliment
loyer,rent
entièrement,entirely
plateau,plateau
élection,election
douloureux,painful
cigare,cigar
orage,storm
tire,draws
pêcher,fish
canal,channel
miens,mine
réalisateur,director
trouble,disorder
veille,eve
vodka,vodka
rocher,rock
linge,washing
noce,nuptials
câble,cable
cité,city
guère,little
peintre,painter
matière,material
intime,intimate
économie,economy
instinct,instinct
porno,porn
atelier,workshop
collection,collection
major,Staff
automne,fall
pencher,lean
personnalité,personality
recommander,recommend
absent,absent
massacrer,massacre
douceur,sweetness
défoncer,smash
échantillon,sample
vendeur,seller
couvent,convent
solitaire,solitary
ôter,remove
légal,legal
mineur,minor
came,cam
masse,mass
splendide,splendid
bien-aimé,beloved
missile,missile
spécialiste,specialist
marquis,marquis
baleine,whale
dater,date
exceptionnel,exceptional
habitant,inhabitant
polonais,Polish
savon,soap
langage,language
tissu,fabric
brigade,brigade
tente,tent
poumon,lung
villa,villa
adjudant,adjutant
séjour,stay
tournage,shooting
las,las
ski,skiing
motif,pattern
dispute,dispute
beau-père,father in law
investir,invest
issue,outcome
gonfler,inflate
pâle,pale
accoucher,birth
pâte,dough
catastrophe,disaster
basket,basketball
jungle,jungle
cachet,stamp
extraterrestre,Extraterrestrial
séduire,seduce
bienvenu,welcome
chaussette,sock
hommage,tribute
merder,fuck up
nucléaire,nuclear
bavarder,chat
serviteur,servant
envisager,consider
lent,slow
pipe,pipe
bâtard,bastard
flotte,fleet
timide,shy
ténèbres,darkness
découverte,discovery
vitre,window
beurre,butter
disparition,disappearance
médaille,medal
conscient,conscious
troubler,disturb
reproduire,reproduce
toast,toast
tonne,ton
réchauffer,warm up
sympathique,sympathetic
panique,panic
flipper,flipper
pouce,inch
adjoint,assistant
confondre,confound
procédure,procedure
tricher,cheat
remède,remedy
agneau,Lamb
marrer,laugh
témoignage,testimony
pose,pose
par-dessus,over
ô,oh
affecter,affect
confesser,confess
nain,dwarf
damoiseau,damoiseau
septembre,September
carton,carton
distraire,distract
humilier,humiliate
tabac,tobacco
exception,exception
fonder,base
gras,fat
impressionnant,awesome
accusé,accused
chevalier,knight
saucisse,sausage
cuisinier,cook
tremper,dip
grève,strike
tendresse,tenderness
ravissant,delightful
applaudir,cheer
photographe,photographer
abîmer,spoil
bidon,can
are,are
lecture,reading
mexicain,Mexican
quatrième,fourth
déborder,overflow
pars,pars
étape,step
offenser,offend
accélérer,accelerate
congrès,congress
percer,drill
électricité,electricity
difficulté,difficulty
uns,each
vachement,really
curé,priest
panier,shopping cart
féliciter,congratulate
braquer,shine
caresser,stroke
galerie,gallery
temple,temple
population,population
température,temperature
jusque,up
familial,family
habituel,usual
allumette,match
afin de,in order to
dominer,dominate
pouls,pulse
business,business
luxe,luxury
sous-marin,submarine
discret,discrete
mentionner,mention
muscle,muscle
affirmer,assert
baser,base
tragédie,tragedy
luire,glisten
chirurgien,surgeon
enchanter,enchant
justifier,justify
maîtriser,control
botter,kick
vexer,vex
brun,brown
département,department
soupçon,suspicion
doubler,double
parcourir,look over
filet,net
boiter,limp
casque,helmet
four,oven
enculer,fuck
traduire,translate
bonhomme,fellow
analyser,analyze
dentiste,dentist
approuver,Sign off
individu,individual
cabane,hut
pipi,pee
éléphant,elephant
fabuleux,fabulous
viol,rape
promenade,walk
go,go
fée,fairy
gage,pledge
souper,supper
plume,pen
reconnaissance,recognition
suprême,supreme
encourager,encourage
ressortir,stand out
kidnapper,kidnap
mouton,sheep
marchandise,commodity
telles,such
aîné,elder
circuler,circulate
tigre,tiger
terreur,terror
légume,vegetable
adopter,adopt
claquer,slam
impôt,tax
stade,stage
orphelin,orphan
boue,mud
fonds,funds
pompier,fireman
conserver,keep
plainte,complaint
répétition,repetition
pigeon,pigeon
commissariat,police station
tandis que,while
vote,vote
mépriser,despise
micro,mike
plaie,wound
connu,known
disposition,provision
tels,such
maigre,lean
travailleur,hard working
symbole,symbol
taré,calibrated
sienne,hers
certes,certainly
conquérir,conquer
drame,drama
déguiser,Dressing
actuel,current
portée,scope
domestique,domestic
mâle,male
promotion,promotion
enregistrement,check in
particulièrement,particularly
extrême,extreme
autoroute,Freeway
faucher,mow
saut,jump
laboratoire,laboratory
foirer,foirer
nuire,harm
la plupart,most
écart,gap
faiblesse,weakness
imiter,imitate
orchestre,orchestra
effrayant,scary
extrêmement,extremely
munition,munition
pratiquement,virtually
ceux-là,those ones
tiroir,drawer
agiter,shake
préserver,preserve
rebelle,rebel
dignité,dignity
larguer,drop
machin,gadget
attentat,attempt
complexe,self conscious
accent,accent
cervelle,brains
combinaison,combination
crainte,fear
efficace,effective
exercer,exercise
saute,stir fry
déterminer,determine
bander,bandage
mêmes,same
aura,aura
patate,spud
bouclier,shield
change,exchange
usage,use
délivrer,issue
profil,profile
auberge,Inn
patrouille,patrol
réseau,network
consoler,console
figurer,figure
formation,training
marge,margin
chariot,trolley
plier,fold
mélanger,mix
touriste,tourist
métal,metal
aiguille,needle
obscurité,darkness
détourner,divert
poignarder,stab
tarte,pie
trône,throne
destruction,destruction
grain,grain
profit,profit
tsar,tsar
allié,ally
semblable,similar
avenue,Avenue
éclat,shine
coiffeur,hairdresser
syndicat,union
cuir,leather
détenu,inmate
manche,handle
batterie,battery
lame,blade
dégât,damage
griller,grill
prostitué,prostitute
outil,tool
âne,ass
producteur,producer
malédiction,curse
objection,objection
survivant,survivor
explosif,explosive
auparavant,before
échelle,scale
conducteur,driver
isoler,isolate
lécher,lick
légitime,legitimate
composer,compose
arroser,water
chèvre,goat
fourrer,shove
homicide,homicide
rarement,rarely
distribuer,distribute
brute,brute
prétexte,excuse
oxygène,oxygen
petit-déjeuner,Breakfast
tonton,Uncle
trafic,traffic
suspendre,suspend
audience,audience
curiosité,curiosity
quai,dock
yeah,yeah
dragon,dragon
cran,guts
traquer,track
hélicoptère,helicopter
rein,kidney
touche,key
influence,influence
écrouler,collapse
commentaire,comment
brique,brick
engueuler,shout
relax,take it easy
etc,etc.
conclusion,conclusion
pratiquer,practice
acier,steel
guitare,guitar
ambassadeur,ambassador
interdit,prohibited
atmosphère,atmosphere
pognon,dough
pétrole,oil
pervers,perverse
cueillir,pick
accueil,welcome
clou,nail
tragique,tragic
magicien,magician
revanche,revenge
conflit,conflict
mondial,global
bouleverser,upset
insecte,insect
regret,regret
confortable,comfortable
aérien,air
commercial,sales representative
pénible,painful
charité,charity
délirer,rave
massacre,massacre
onze,eleven
emménager,move
loge,lodge
organe,organ
zut,heck
sien,his
gendarme,gendarme
jalousie,jealousy
livraison,Shipping
associer,associate
provenir,result
violon,violin
écriture,writing
désordre,disorder
éclair,lightning
condamné,condemned
thérapie,therapy
casse,breakage
lesbien,lesbian
poignée,handle
user,use
fierté,pride
sagesse,wisdom
sincèrement,sincerely
choquer,shock
effectivement,indeed
déesse,goddess
mairie,town Hall
vedette,star
cadre,framework
surpris,surprised
vallée,valley
silencieux,silent
aussitôt,immediately
délit,offense
psychiatre,psychiatrist
sous-sol,basement
menu,menu
bouquin,book
lady,Lady
défier,challenge
adapter,adapt
bracelet,bracelet
supprimer,remove
pneu,tire
pull,sweater
endormi,asleep
satellite,satellite
cavalier,jumper
administration,administration
juin,June
barrage,dam
dessert,dessert
agresser,assault
tristesse,sadness
reporter,carry over
planche,board
capitale,capital
capital,capital
demeure,residence
record,record
intervention,intervention
pointe,tip
conviction,conviction
frite,fried
inconscient,unconscious
historique,historical
quotidien,daily
conte,tale
profondeur,depth
publicité,advertising
tailler,cut
angle,angle
lot,lot
fiancer,betroth
entretenir,maintain
fillette,child
tranquillement,quietly
enveloppe,envelope
mark,mark
impatient,impatient
carnet,book
revenu,income
ère,era
phase,phase
résistance,resistance
remarquable,remarkable
effondrer,collapse
dépôt,deposit
baby,baby
disponible,available
délire,delirium
richesse,wealth
paysage,landscape
demeurer,remain
piloter,pilot
droguer,drug
anéantir,wipe out
coucou,cuckoo
marine,navy
punition,punishment
beau-frère,brother in law
construction,construction
démocratie,democracy
morale,morals
vainqueur,winner
embaucher,hire
fringue,dud
assommer,knock out
concernant,concerning
division,division
gentleman,gentleman
affection,affection
rajouter,add
siffler,whistle
tolérer,tolerate
romain,Roman
chapitre,chapter
cicatrice,scar
dalle,slab
tendance,trend
raté,missed
chantier,site
soûl,drunk
torture,torture
foudre,lightning
empirer,worse
altesse,highness
mouillé,wet
procéder,proceed
agression,assault
ivrogne,drunkard
grossier,coarse
bousiller,botch
douzaine,dozen
chanceux,fortunate
révérend,reverend
insensé,foolish
chiotte,shit
localiser,locate
basque,Basque
quoique,though
querelle,quarrel
assumer,assume
noix,nuts
confession,confession
boy,boy
décès,death
relier,link
équipement,equipment
européen,European
mobile,mobile
désastre,disaster
précisément,precisely
poster,post
évader,escape
emparer,possession
flotter,float
aspect,appearance
moustache,Moustache
procurer,obtain
distinguer,distinguish
flèche,arrow
soviétique,Soviet
jupe,skirt
possession,possession
ancêtre,ancestor
casino,casino
détenir,hold
rempli,filled
tabasser,beat up
cuisse,thigh
doué,gifted
financier,financial
branler,wobble
biscuit,biscuit
découper,cut out
matinée,morning
précédent,previous
futé,smart
panneau,panel
coma,coma
mis,placed
anonyme,anonymous
août,August
homo,homo
marteau,hammer
mont,mount
visiteur,visitor
infini,infinity
activer,activate
recette,recipe
introduire,introduce
aborder,approach
cinquante,fifty
formule,formula
racine,root
frotter,rub
destiner,destine
industrie,industry
économiser,save
spirituel,spiritual
chômage,unemployment
fâché,angry
by,by
vôtres,yours
coq,cock
plaquer,plate
fasciste,fascist
mourant,dying
humble,humble
civilisation,civilization
récent,recent
baignoire,bath
duc,duke
désespéré,desperate
bourgeois,bourgeois
pris,taken
rétablir,restore
baisse,drop
héritage,legacy
manipuler,handle
ambiance,ambiance
exposition,exposure
prophète,prophet
flatter,flatter
manuel,manual
mannequin,model
option,option
défaire,undo
régiment,regiment
vice,vice
certificat,certificate
papillon,butterfly
facteur,factor
baraque,shed
énormément,enormously
corriger,correct
nid,nest
tordre,twist
défi,challenge
vital,vital
volé,stolen
deuil,mourning
grotte,cave
requin,shark
cheville,ankle
autopsie,autopsy
déplaire,displease
boum,bang
désespérer,despair
trinquer,toast
tué,slew
chacune,each
couvert,covered
amer,bitter
calculer,calculate
supermarché,supermarket
sot,fool
allée,driveway
zoo,zoo
priorité,priority
balayer,sweep
routine,routine
assaut,assault
vulgaire,vulgar
classer,classify
engagement,commitment
gratter,scratch
rituel,ritual
vaisselle,washing up
repentir,repentance
aspirer,aspirate
cognac,cognac
musulman,Muslim
citron,lemon
honnêtement,honestly
louper,miss out on
indépendant,independent
jadis,once
tatouage,tattoo
cadet,younger brother
discipline,discipline
association,association
favori,favorite
fraise,Strawberry
province,province
serré,tight
trancher,cut
juillet,July
saoul,drunk
acide,acid
clope,butt
colonne,column
refermer,close
hériter,inherit
nan,nan
onde,wave
réciter,recite
coopérer,cooperate
intact,intact
obligé,forced
retarder,delay
implorer,implore
chiant,boring
terriblement,terribly
précipiter,rush
phare,lighthouse
char,tank
quelquefois,sometimes
femelle,female
chirurgie,surgery
moine,monk
berger,shepherd
foire,fair
opportunité,timeliness
malentendu,misunderstanding
essuyer,wipe
cachette,stash
instituteur,teacher
perturber,disrupt
miser,bet
portugais,Portuguese
octobre,October
après-demain,day after tomorrow
horaire,schedule
lesquelles,which
actif,active
sublime,sublime
vieillard,old
familier,familiar
talon,heel
potentiel,potential
sueur,sweat
extra,extra
fatal,fatal
domicile,home
cérébral,cerebral
ronger,gnaw
grenade,grenade
interrogatoire,interrogation
juré,juror
menotte,cuff
fascinant,fascinating
caravane,caravan
comté,county
survie,survival
symptôme,symptom
audition,hearing
intellectuel,intellectual
frappe,strike
redescendre,down
damer,tamp
potion,potion
répugnant,disgusting
antenne,antenna
collège,college
descente,descent
tribu,tribe
culpabilité,guilt
mafia,mafia
orgueil,pride
ramper,crawl
évoquer,evoke
fermeture,closure
mouchoir,handkerchief
bail,lease
troupeau,herd
gaspiller,waste
précédemment,previously
évidence,evidence
calcul,calculation
coquin,rascal
plaider,plead
ya,ago
scanner,scanner
honorable,honorable
ressusciter,resurrect
glacé,iced
télégramme,telegram
insupportable,unbearable
majorité,majority
graine,seed
piqûre,sting
tâcher,try
enfiler,thread
tonnerre,thunder
actuellement,now
cheminée,fireplace
maquillage,make up
hanter,haunt
dérouler,unroll
tennis,tennis
gré,will
flinguer,flinguer
obligation,obligation
slip,underpants
exclure,exclude
sirène,siren
gentiment,kindly
clocher,steeple
cinquième,fifth
chaos,chaos
gonzesse,chick
crapaud,toad
album,album
déposition,deposition
engin,machine
dernièrement,recently
lointain,distant
remarque,remark
élire,elect
avril,April
humide,wet
taux,rate
défunt,dead
budget,budget
périr,perish
joint,joint
limiter,limit
comptable,accounting
fermier,farmer
reportage,report
ambition,ambition
aveu,confession
concierge,concierge
création,creation
raide,steep
bénédiction,blessing
maquiller,make up
latin,Latin
banane,banana
voyageur,traveler
alibi,alibi
logement,housing
chauve,bald
fixe,fixed
harceler,harass
mûr,mature
noeud,node
fichier,file
nous-mêmes,ourselves
majeur,major
correctement,correctly
dizaine,decade
transfert,transfer
obscur,dark
recouvrir,cover
brouillard,fog
contrarier,upset
délai,time frame
quitte,quits
retomber,relapse
champignon,mushroom
poursuite,pursuit
peso,peso
spatial,spatial
confus,confused
grille,grid
chameau,camel
probable,probable
adversaire,opponent
aimé,loved
crayon,pencil
gâter,spoil
loyal,loyal
surgir,pop up
atroce,atrocious
espionner,spy
look,look
canne,cane
balai,broom
désagréable,unpleasant
modifier,change
testament,will
cm,cm
pétrin,mess
caution,bail
minimum,minimum
convoquer,call
destination,destination
messager,messenger
t-shirt,T-shirt
trottoir,sidewalk
pincer,pinch
processus,process
bombarder,bomb
défiler,pass
boeuf,Beef
condoléance,Condolence
taureau,bull
héritier,heir
sportif,sports
épouvantable,terrible
représentant,representative
intimité,privacy
judiciaire,judicial
étroit,close
drôlement,funnily
banc,bench
camionnette,van
phénomène,phenomenon
poker,poker
rencard,hot date
vanter,boast
immédiat,immediate
expédition,expedition
haver,haver
vase,vase
exemplaire,copy
karma,karma
élégant,elegant
payé,paid
traité,treaty
brûlé,burnt
débat,debate
crochet,hook
thèse,thesis
remords,remorse
récolter,harvest
maths,Math
équilibre,balance
obstacle,obstacle
briquet,lighter
modeste,modest
innocence,innocence
infection,infection
désespoir,despair
déprimer,depress
proie,prey
rançon,ransom
évoluer,evolve
constater,note
terrasse,terrace
disperser,disperse
grossir,swell
perle,pearl
rex,rex
ménager,spare
allure,pace
égarer,mislead
refroidir,cool down
attrape,catch
roux,red
balcon,balcony
chimique,chemical
effectuer,carry out
porteur,carrier
insulte,insult
sensé,sensible
tracer,draw
tourmenter,torment
brûlant,burning
jet,jet
coupure,cut
sir,sir
horloge,clock
caché,hidden
fiche,plug
pharmacie,pharmacy
coiffure,hairdressing
coutume,custom
resto,resto
complot,plot
habillé,dressed
référence,reference
égoïste,selfish
errer,wander
gangster,gangster
dépression,depression
lesquels,which
pirate,pirate
situer,situate
barque,barque
député,deputy
officiellement,officially
pou,louse
privilège,privilege
souhait,wish
critiquer,criticize
cafard,cockroach
revivre,relive
invention,invention
parrain,sponsor
soie,silk
tracasser,bother
radar,radar
costaud,beefy
révolutionnaire,revolutionary
diffuser,broadcast
encaisser,cash
photographier,photograph
renforcer,strengthen
ciné,cine
graver,engrave
plafond,ceiling
pêcheur,fisherman
gênant,embarrassing
cultiver,grow
philosophie,philosophy
vaste,wide
couché,recumbent
migraine,migraine
quantité,quantity
compromettre,compromise
infiniment,infinitely
flot,flood
cocktail,cocktail
jeton,token
manifester,show
fidélité,loyalty
selle,saddle
épais,thick
rigolo,funny
frein,brake
précaution,precaution
quête,quest
circuit,circuit
uni,united
ci,it
hache,ax
hypocrite,hypocrite
inhabituel,unusual
média,Media
ver,worm
assistance,assistance
caporal,Corporal
cristal,crystal
marron,brown
tombeau,tomb
vaurien,scoundrel
coude,elbow
tambour,drum
britannique,British
litre,liter
environnement,environment
certitude,certainty
israélien,Israeli
compassion,compassion
séparation,separation
protester,protest
diviser,divide
flûte,flute
fréquence,frequency
base-ball,baseball
morgue,morgue
décharger,unload
patienter,wait
nièce,niece
pelle,shovel
revue,review
brisé,broken
coton,cotton
stable,stable
fusée,rocket
quelconque,any
débuter,start
serrure,lock
spécialité,specialty
inquiétude,concern
académie,academy
comique,comic
désigner,designate
amiral,admiral
caillou,pebble
paye,pay
tout-puissant,almighty
artistique,artistic
pathétique,pathetic
poignet,wrist
architecte,architect
carrément,outright
bac,ferry
explorer,explore
ruse,ruse
infecter,infect
auquel,which
eux-mêmes,themselves
récompenser,reward
financer,finance
k,k
baptiser,baptize
municipal,municipal
progresser,progress
insinuer,insinuate
hall,hall
mélange,mixture
capter,capture
parasite,parasite
poignard,dagger
récit,story
élu,elected
amical,friendly
automatique,automatic
maillot,shirt
mèche,wick
pécher,sin
détecter,detect
informatique,information Technology
nichon,tit
agressif,aggressive
bourreau,executioner
euro,euro
récolte,harvest
brutal,brutal
gueuler,yell
pécheur,sinner
soupirer,sigh
orbite,orbit
stratégie,strategy
baver,drool
armoire,wardrobe
têtu,stubborn
affiche,poster
aviser,notice
liquider,liquidate
remise,hand off
génétique,genetic
heurter,hit
soulier,shoe
achat,purchase
entrepôt,warehouse
funérailles,funeral
mars,March
señor,Señor
projeter,project
fondation,foundation
casquette,cap
culot,base
formulaire,form
mou,soft
ordonnance,order
rasoir,razor
col,collar
refiler,palm off
orteil,toe
bétail,livestock
tendu,tense
évasion,escape
sinistre,sinister
comble,packed
perruque,wig
repenser,rethink
endurer,endure
quarante,forty
savant,scientist
clandestin,clandestine
industriel,industrial
afin que,so that
miennes,mine
indispensable,indispensable
manager,manager
mule,mule
contaminer,contaminate
dimension,dimension
fusillade,shooting
générateur,generator
transmission,transmission
fourmi,ant
édition,edition
immobilier,real estate
avertissement,warning
chargé,loaded
spécialement,specially
venue,arrival
mitrailleur,Gunner
argument,argument
confidentiel,confidential
massage,massage
respiration,breathing
sieste,siesta
boche,Boche
sonnette,pile driver
impact,impact
ronde,round
regagner,regain
sentimental,sentimental
honteux,shameful
galaxie,galaxy
pleur,crying
enlèvement,removal
ambassade,embassy
interpréter,interpret
louche,ladle
paille,straw
émettre,emit
sévère,severe
émouvoir,move
exploiter,exploit
maladroit,awkward
réussite,success
soi-disant,supposedly
stopper,stop
scotch,Scotch tape
polir,polish
motel,motel
triomphe,triumph
négliger,neglect
protégé,protected
homosexuel,homosexual
archive,archive
institution,institution
jambon,Ham
longueur,length
redonner,give back
blaguer,joke
couillon,turd
raisin,grapes
convoi,convoy
grenier,attic
psychopathe,psychopath
blâmer,blame
comédien,actor
loyauté,loyalty
surfer,surf
accro,addict
amende,fine
combler,satisfy
bouffon,jester
rabbin,rabbi
fasciner,fascinate
hémorragie,hemorrhage
bouquet,bouquet
convertir,convert
créateur,creator
farce,farce
navette,shuttle
définitivement,finally
oreiller,pillow
typique,typical
boxe,boxing
crevette,shrimp
dinde,Turkey
déçu,disappointed
rail,rail
décharge,discharge
mallette,briefcase
ouah,wow
présumer,assume
expulser,expel
adolescent,teenager
surmonter,get over
tousser,cough
escroc,con man
préciser,specify
remporter,win
fatigue,run down
vocation,vocation
avérer,be
charbon,coal
téléphonique,telephone
authentique,bona fide
choisi,selected
ralenti,slow motion
gémir,moan
égard,respect
fantasme,fantasy
gym,Gym
aspirine,aspirin
manoeuvre,maneuver
compétition,competition
garantie,warranty
psychiatrique,psychiatric
oie,Goose
ail,garlic
coter,dimension
apprêter,ready
barrière,barrier
séduisant,attractive
permanent,permanent
abeille,bee
planque,stash
lis,lily
dramatique,dramatic
mat,matt
us,us
grenouille,frog
valable,valid
bingo,bingo
destinée,destiny
graisse,fat
diabolique,diabolical
atterrissage,landing
prédire,predict
affamé,starving
égorger,slay
masculin,male
vertige,dizziness
épidémie,epidemic
frangin,bro
horizon,horizon
postal,postal
réconcilier,reconcile
refus,refusal
seau,bucket
isolé,isolated
forger,forge
inverse,reverse
rougir,blush
caserne,barrack
pince,pliers
écouler,sell
injection,injection
matelas,mattress
supplémentaire,additional
visible,visible
constituer,form
